func,prob,total_time,best_obj,best_bound,gap,preprocess_time,solution_time,callback_time,subproblem_time,callback_calls,num_separations,bb_nodes,num_variables,num_constraints,dp_num_nodes,dp_num_arcs,dp_num_paths,dp_unique_arcs,dp_unique_paths
cg_w05_c000,mssp4-n180-d10-01,4152.5023749434085,1961.812119047617,3224.768356155276,0.6437702289864407,0.05718809,4152.445186853409,4150.704530037998,4150.412006433001,435,425,215,423,1863,97,526,484.0,526,484
cg_w05_c000,mssp4-n180-d10-02,3884.8089731133914,2372.6001999999935,2804.186514665689,0.181904357365264,0.010761062,3884.7982120513916,3879.8572513270005,3879.6915874009997,264,254,961,422,1951,96,354,300.0,354,300
cg_w05_c000,mssp4-n180-d10-03,3587.7572762797217,2169.454577941176,2169.454577941176,0.0,0.011622412,3587.7456538677216,3577.730127227999,3577.6200590879994,183,179,2080,422,1961,96,279,187.0,279,187
cg_w05_c000,mssp4-n180-d10-04,3615.3502293898405,1953.9198946596862,3496.6854972049096,0.7895746426257289,0.012587197,3615.3376421928406,3614.2427224180005,3614.176105588001,134,128,30,422,1894,96,228,137.0,228,137
cg_w05_c000,mssp4-n180-d10-05,3921.398823444035,2249.2718049180294,3349.178501594001,0.4890056836488268,0.012214605,3921.386608839035,3920.2488268880006,3920.078931669,278,269,132,422,1889,96,368,274.0,368,274
cg_w05_c000,mssp4-n180-d15-01,4855.506559660681,1678.5912466666675,2138.160510651269,0.2737827120790783,0.069774678,4855.436784982681,4842.252349124004,4842.056877641003,249,236,1397,422,2633,96,336,256.0,336,256
cg_w05_c000,mssp4-n180-d15-02,3627.1369955353484,1374.700100000001,2045.8092766184798,0.4881858789553288,0.015463572,3627.1215319633484,3607.4022148009994,3607.2336669329984,347,342,2661,420,2756,94,441,367.0,441,367
cg_w05_c000,mssp4-n180-d15-03,3904.029598623077,1496.0001000000007,1873.0094649775508,0.2520115907596196,0.015127569,3904.014471054077,3877.294567777001,3877.056753606998,457,450,3923,422,2742,96,550,478.0,550,478
cg_w05_c000,mssp4-n180-d15-04,3976.2223216571138,905.7001000000002,2331.7685740519264,1.5745482130916468,0.028937725,3976.1933839321136,3967.2556156210003,3967.1676821580004,178,169,723,422,2754,96,271,194.0,271,194
cg_w05_c000,mssp4-n180-d15-05,3393.7427617403255,1644.7001,1644.7001,0.0,0.027482638,3393.7152791023254,3380.6530358880013,3380.5480080909983,246,243,2185,422,2732,96,344,252.0,344,252
