func,prob,total_time,best_obj,best_bound,gap,preprocess_time,solution_time,callback_time,subproblem_time,callback_calls,num_separations,bb_nodes,num_variables,num_constraints,dp_num_nodes,dp_num_arcs,dp_num_paths,dp_unique_arcs,dp_unique_paths
cg2_l20_w00_c200,mssp3-n100-d10-01,33.12021635078125,1781.857314285715,1781.857314285715,0.0,0.104286175,33.01593017578125,32.59071543000001,32.48535756900001,188,179,66,384,618,202,387,230.0,386,229
cg2_l20_w00_c200,mssp3-n100-d10-02,56.809401747944946,1823.2251708333322,1823.3861330407262,8.828432711933207e-5,0.039139745,56.770262002944946,56.142470336,56.004649270999984,247,233,183,384,614,202,452,593.0,452,593
cg2_l20_w00_c200,mssp3-n100-d10-03,57.538062995597656,1769.9354561151076,1769.9354561151076,0.0,0.028015083,57.510047912597656,56.87040565899998,56.73082008199997,236,224,174,384,625,202,437,478.0,437,478
cg2_l20_w00_c200,mssp3-n100-d10-04,50.44469944375183,1813.2231643423133,1813.2231643423133,0.0,0.048069395,50.39663004875183,49.865777453000014,49.620391810000015,293,281,74,384,598,202,486,333.0,486,333
cg2_l20_w00_c200,mssp3-n100-d10-05,77.51217150131396,2008.8856513966466,2008.8856513966466,0.0,0.047870392,77.46430110931396,76.46605076199997,76.19620666200005,361,349,229,384,603,202,568,793.0,566,745
cg2_l20_w00_c200,mssp3-n100-d15-01,78.4739891591062,1567.6502500000006,1567.6502500000006,0.0,0.052454144,78.4215350151062,77.82955331400002,77.66828084399997,282,270,69,384,862,202,478,463.0,478,460
cg2_l20_w00_c200,mssp3-n100-d15-02,16.265789624022094,1368.8001000000004,1368.8001000000004,0.0,0.016212817,16.249576807022095,15.968677579000005,15.858506271999998,65,59,35,384,858,202,263,78.0,263,78
cg2_l20_w00_c200,mssp3-n100-d15-03,33.31977097756543,1446.782018181817,1446.782018181817,0.0,0.006036923,33.31373405456543,32.951043594,32.86311473300001,172,162,44,384,866,202,364,168.0,364,168
cg2_l20_w00_c200,mssp3-n100-d15-04,30.38431457948389,1443.656853333333,1443.656853333333,0.0,0.006885571,30.377429008483887,29.487269013999992,29.415621284999993,125,117,476,384,906,202,317,117.0,317,117
cg2_l20_w00_c200,mssp3-n100-d15-05,37.8810626225907,1175.2001000000005,1175.2001000000005,0.0,0.007017489,37.8740451335907,37.509178178000006,37.441883847999975,116,109,38,384,882,202,314,164.0,314,164
cg2_l20_w00_c200,mssp3-n100-d20-01,8.820445104343262,1016.3001000000004,1016.3001000000003,0.0,0.053031965,8.767413139343262,8.489551907,8.472524987,36,32,79,384,1167,202,236,64.0,236,64
cg2_l20_w00_c200,mssp3-n100-d20-02,32.44660443247204,1210.6002000000008,1210.6002000000008,0.0,0.063639583,32.382964849472046,31.975067055999997,31.909830405000005,124,114,106,384,1105,202,321,271.0,321,269
cg2_l20_w00_c200,mssp3-n100-d20-03,21.608823832640137,932.7001000000006,932.7001000000006,0.0,0.059458789,21.549365043640137,21.25494829100001,21.203101449,87,81,55,384,1084,202,284,113.0,284,113
cg2_l20_w00_c200,mssp3-n100-d20-04,28.511099857976806,1003.1001000000001,1003.1001000000001,0.0,0.034103913,28.476995944976807,28.075023464999987,28.00980440299999,111,102,105,384,1076,202,306,146.0,306,146
cg2_l20_w00_c200,mssp3-n100-d20-05,70.32382623501356,1061.3001,1061.3001,0.0,0.049213093,70.27461314201355,69.68425248700004,69.458628546,248,234,184,384,1142,202,442,301.0,441,294
cg2_l20_w00_c200,mssp3-n100-d30-01,51.4104594094331,664.2001,664.2001,0.0,0.108294378,51.302165031433105,50.25907973000001,50.19296273800001,103,90,446,384,1642,202,291,93.0,291,93
